OriginAirportID,DestAirportID,DayOfWeek,delay_events,n,smoothed_delay_prob
10397,11259,3,0,13,0.06666666666666667
10397,11259,4,1,13,0.13333333333333333
10397,11259,5,1,14,0.125
10397,11259,6,3,10,0.3333333333333333
10397,11259,7,0,8,0.1
10397,11278,1,8,68,0.12857142857142856
10397,11278,2,10,70,0.1527777777777778
10397,11278,3,16,58,0.2833333333333333
10397,11278,4,8,67,0.13043478260869565
10397,11278,5,9,46,0.20833333333333334
10397,11278,6,8,59,0.14754098360655737
10397,11278,7,16,73,0.22666666666666666
10397,11292,1,9,34,0.2777777777777778
10397,11292,2,5,33,0.17142857142857143
10397,11292,3,10,35,0.2972972972972973
10397,11292,4,11,48,0.24
10397,11292,5,7,44,0.17391304347826086
10397,11292,6,10,40,0.2619047619047619
10397,11292,7,12,47,0.2653061224489796
10397,11298,1,14,62,0.234375
10397,11298,2,13,76,0.1794871794871795
10397,11298,3,12,71,0.1780821917808219
10397,11298,4,12,65,0.19402985074626866
10397,11298,5,17,77,0.22784810126582278
10397,11298,6,7,50,0.15384615384615385
10397,11298,7,6,53,0.12727272727272726
10397,11433,1,6,43,0.15555555555555556
10397,11433,2,8,50,0.17307692307692307
10397,11433,3,7,46,0.16666666666666666
10397,11433,4,6,43,0.15555555555555556
10397,11433,5,8,41,0.20930232558139536
10397,11433,6,4,35,0.13513513513513514
10397,11433,7,8,48,0.18
10397,11618,1,20,52,0.3888888888888889
10397,11618,2,13,47,0.2857142857142857
10397,11618,3,14,48,0.3
10397,11618,4,18,47,0.3877551020408163
10397,11618,5,21,57,0.3728813559322034
10397,11618,6,7,30,0.25
10397,11618,7,14,43,0.3333333333333333
10397,11697,1,8,45,0.19148936170212766
10397,11697,2,12,72,0.17567567567567569
10397,11697,3,8,56,0.15517241379310345
10397,11697,4,12,64,0.19696969696969696
10397,11697,5,10,55,0.19298245614035087
10397,11697,6,12,59,0.21311475409836064
10397,11697,7,20,64,0.3181818181818182
10397,12173,1,1,5,0.2857142857142857
10397,12173,2,0,2,0.25
10397,12173,3,1,4,0.3333333333333333
10397,12173,4,1,5,0.2857142857142857
10397,12173,5,1,1,0.6666666666666666
